Checking download URLs
The following files will be downloaded: 

run_accession study_accession experiment_accession public_url                                                                                                  download_url                                                                                            out_dir                                                                                  filesize
SRR18511696   SRP366403       SRX14642877                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511696/SRR18511696 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511696/SRR18511696.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 11.9 GB 
SRR18511697   SRP366403       SRX14642878                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511697/SRR18511697 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511697/SRR18511697.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 25.1 GB 
SRR18511698   SRP366403       SRX14642879          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18511/SRR18511698/SRR18511698.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511698/SRR18511698.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 12.3 GB 
SRR18511699   SRP366403       SRX14642880          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR018/18511/SRR18511699/SRR18511699.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511699/SRR18511699.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 18.7 GB 
SRR18511704   SRP366403       SRX14642885          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18511/SRR18511704/SRR18511704.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511704/SRR18511704.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 10.9 GB 
SRR18511705   SRP366403       SRX14642886          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18511/SRR18511705/SRR18511705.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511705/SRR18511705.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 12.2 GB 
SRR18511706   SRP366403       SRX14642886          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18511/SRR18511706/SRR18511706.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511706/SRR18511706.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 10.8 GB 
SRR18511707   SRP366403       SRX14642887                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511707/SRR18511707 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511707/SRR18511707.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 17.7 GB 
SRR18511708   SRP366403       SRX14642888                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511708/SRR18511708 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511708/SRR18511708.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 25.8 GB 
SRR18511709   SRP366403       SRX14642889                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511709/SRR18511709 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511709/SRR18511709.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 15.9 GB 
SRR18511710   SRP366403       SRX14642890                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511710/SRR18511710 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511710/SRR18511710.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 42.2 GB 
SRR18511711   SRP366403       SRX14642891                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511711/SRR18511711 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511711/SRR18511711.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 12.9 GB 
