file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642877/SRR18511696_1.fastq.gz	FASTQ	DNA	304179888	15513174288	51	51.0	51
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642877/SRR18511696_2.fastq.gz	FASTQ	DNA	304179888	4866878208	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642877/SRR18511696_3.fastq.gz	FASTQ	DNA	304179888	15513174288	51	51.0	51
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642878/SRR18511697_1.fastq.gz	FASTQ	DNA	419226590	11738344520	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642878/SRR18511697_2.fastq.gz	FASTQ	DNA	419226590	62883988500	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642879/SRR18511698_1.fastq.gz	FASTQ	DNA	406975127	20348756350	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642879/SRR18511698_2.fastq.gz	FASTQ	DNA	406975127	6511602032	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642879/SRR18511698_3.fastq.gz	FASTQ	DNA	406975127	20348756350	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642880/SRR18511699_1.fastq.gz	FASTQ	DNA	417632874	11693720472	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642880/SRR18511699_2.fastq.gz	FASTQ	DNA	417632874	62644931100	150	150.0	150
